id_oferta,titulo,empresa,fuente,fecha_publicacion,provincia,modalidad,nivel,tipo_contrato,salario_min,salario_max,moneda,habilidades,descripcion
OF-00397,Ingeniero de IA/ML,Cable & Wireless,Konzerta,2025-07-21,Panamá,Híbrido,Senior,Freelance,3100,4700,USD,"AWS, LLM/IA Generativa, Python, Spark","Buscamos Ingeniero de IA/ML nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Python, Spark. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00398,Administrador de BD,,Konzerta,2025-03-20,Herrera,Remoto,Lead,Permanente,2950,4500,USD,"MongoDB, PostgreSQL, SQL","Buscamos Administrador de BD nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, PostgreSQL, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00399,Administrador de BD,Caja de Ahorros,Computrabajo,2025-05-19,Panamá,Remoto,Lead,Permanente,4500,5500,USD,"MongoDB, Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00400,Científico de Datos,TechMakers,Konzerta,2025-08-05,Panamá,Híbrido,Semi Senior,Permanente,2600,3450,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00401,Científico de Datos,Banistmo,Konzerta,2025-09-17,Panamá,Híbrido,Junior,Por Proyecto,1950,2450,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00402,Analista de BI,,LinkedIn,2025-06-24,Panamá Oeste,Híbrido,Senior,Temporal,2350,3300,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00403,Ingeniero Cloud,Banco General,Computrabajo,2025-09-12,Panamá,Remoto,Semi Senior,Permanente,2800,,USD,"AWS, Azure, GCP, Kubernetes, Python","Buscamos Ingeniero Cloud nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, GCP, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00404,Ingeniero de IA/ML,,Konzerta,2024-12-10,Chiriquí,Remoto,Junior,Permanente,2450,3000,USD,"AWS, GCP, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, GCP, LLM/IA Generativa, Machine Learning. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00405,Ingeniero Cloud,Panama Digital,LinkedIn,2025-07-08,Panamá Oeste,Híbrido,Junior,Permanente,1650,2050,USD,"Docker, GCP, Kubernetes","Buscamos Ingeniero Cloud nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Docker, GCP, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00406,Administrador de BD,MultiBank,LinkedIn,2025-06-21,Panamá,Presencial,Semi Senior,Freelance,2150,3200,USD,"LLM/IA Generativa, MongoDB, Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, MongoDB, Oracle, PostgreSQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00407,Analista de BI,Procesos y Sistemas,Konzerta,2025-05-14,Panamá,Híbrido,Semi Senior,Permanente,1550,2050,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00408,Desarrollador Frontend,,encuentra24,2025-05-17,Panamá,Híbrido,Semi Senior,Temporal,2650,3600,USD,"Angular, Git, JavaScript, Machine Learning, React, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Angular, Git, JavaScript, Machine Learning. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00409,Ingeniero DevOps,,encuentra24,2025-09-05,Panamá Oeste,Híbrido,Semi Senior,Permanente,2850,3650,USD,"AWS, Docker, GCP, Git, Kubernetes","Buscamos Ingeniero DevOps nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Docker, GCP, Git. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00410,Administrador de BD,TechMakers,Konzerta,2025-07-15,Panamá Oeste,Presencial,Semi Senior,Temporal,2250,3250,USD,"Go, MongoDB, Oracle, PostgreSQL, Python, Rust, SQL","Buscamos Administrador de BD nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Go, MongoDB, Oracle, PostgreSQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00411,Ingeniero de Datos,Avianca Tech,encuentra24,2025-08-28,Chiriquí,Híbrido,Semi Senior,Por Proyecto,2350,2950,USD,"AWS, Power BI, Python, Rust, Spark","Buscamos Ingeniero de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Power BI, Python, Rust. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00412,Ingeniero de IA/ML,DataPro Panamá,Konzerta,2025-04-21,Chiriquí,Presencial,Junior,Permanente,1600,2000,USD,"AWS, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Machine Learning, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00413,Analista de BI,Procesos y Sistemas,Konzerta,2025-09-19,Panamá Oeste,Híbrido,Semi Senior,Temporal,,2150,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00414,Ingeniero DevOps,Avianca Tech,Konzerta,2025-07-20,Panamá,Presencial,Semi Senior,Temporal,1850,2400,USD,"AWS, Azure, Docker, Git","Buscamos Ingeniero DevOps nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, Git. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00415,Ingeniero Cloud,BAC Credomatic,Konzerta,2025-04-25,Colón,Híbrido,Senior,Permanente,3250,4250,USD,"AWS, Azure, Docker, GCP, Kubernetes, Python, Vue","Buscamos Ingeniero Cloud nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, GCP. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00416,Desarrollador Frontend,Caja de Ahorros,LinkedIn,2025-06-08,Panamá Oeste,Presencial,Semi Senior,Por Proyecto,1950,2450,USD,"Git, JavaScript, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Git, JavaScript, TypeScript, Vue. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00417,Analista de BI,Cable & Wireless,Konzerta,2025-04-28,Panamá Oeste,Presencial,Junior,Permanente,950,1350,USD,"Power BI, Python, SQL","Buscamos Analista de BI nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00418,Desarrollador Backend,Avianca Tech,LinkedIn,2025-05-09,Panamá,Remoto,Senior,Permanente,2850,4350,USD,".NET, Git, Kubernetes, Node.js, Python, SQL","Buscamos Desarrollador Backend nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en .NET, Git, Kubernetes, Node.js. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00419,Administrador de BD,Procesos y Sistemas,encuentra24,2025-08-30,Panamá,Híbrido,Semi Senior,Permanente,2150,3350,USD,"MongoDB, Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00420,Analista de BI,GBM Panamá,LinkedIn,2025-04-17,Panamá,Presencial,Senior,Temporal,2600,3650,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00421,Ingeniero de IA/ML,Dell Panamá,encuentra24,2025-09-01,Colón,Híbrido,Junior,Permanente,2100,2800,USD,"AWS, GCP, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, GCP, LLM/IA Generativa, Machine Learning. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00422,Analista de BI,Innovatec,Konzerta,2025-05-27,Panamá,Híbrido,Semi Senior,Permanente,2150,2700,USD,"Kubernetes, PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Kubernetes, PostgreSQL, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00423,Analista de BI,Banco General,Konzerta,2025-02-17,Panamá Oeste,Presencial,Junior,Permanente,1400,1850,USD,"GCP, Power BI, Python, SQL","Buscamos Analista de BI nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en GCP, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00424,Desarrollador Backend,Dell Panamá,encuentra24,2025-03-23,Panamá,Híbrido,Junior,Permanente,1600,2300,USD,".NET, C#, Java, Node.js, Python","Buscamos Desarrollador Backend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en .NET, C#, Java, Node.js. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00425,Ingeniero DevOps,Innovatec,encuentra24,2025-03-14,Colón,Presencial,Semi Senior,Por Proyecto,2650,3300,USD,"AWS, Azure, Docker, GCP, Git, Kubernetes, Rust","Buscamos Ingeniero DevOps nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, GCP. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00426,Científico de Datos,TechMakers,Konzerta,2025-09-18,Veraguas,Híbrido,Semi Senior,Permanente,2150,2850,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00427,Analista de BI,,Konzerta,2025-05-30,Panamá Oeste,Remoto,Semi Senior,Por Proyecto,2450,3450,USD,"GCP, PostgreSQL, Power BI, Python, Rust, SQL","Buscamos Analista de BI nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en GCP, PostgreSQL, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00428,Ingeniero Cloud,Nearshore Devs,Konzerta,2025-09-01,Coclé,Remoto,Junior,Permanente,1700,2450,USD,"AWS, Azure, Docker, Kubernetes, TypeScript","Buscamos Ingeniero Cloud nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00429,Ingeniero de IA/ML,GBM Panamá,Konzerta,2025-06-02,Panamá Oeste,Presencial,Junior,Temporal,1750,2550,USD,"AWS, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Machine Learning, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00430,Administrador de BD,DataPro Panamá,Konzerta,2025-01-13,Chiriquí,Híbrido,Senior,Permanente,,3350,USD,"MongoDB, PostgreSQL, Python","Buscamos Administrador de BD nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00431,Ingeniero de Datos,DataPro Panamá,encuentra24,2025-09-05,Panamá,Híbrido,Senior,Permanente,2700,3800,USD,"Power BI, Python, SQL, Spark","Buscamos Ingeniero de Datos nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en Power BI, Python, SQL, Spark. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00432,Desarrollador Frontend,Dell Panamá,encuentra24,2025-02-13,Panamá,Presencial,Junior,Permanente,1500,2050,USD,"Angular, Git, JavaScript, React, Vue","Buscamos Desarrollador Frontend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Angular, Git, JavaScript, React. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00433,Ingeniero de IA/ML,Banco General,LinkedIn,2025-06-08,Colón,Presencial,Lead,Permanente,3300,4700,USD,"AWS, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Machine Learning, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00434,Administrador de BD,Caja de Ahorros,encuentra24,2024-11-18,Los Santos,Híbrido,Semi Senior,Permanente,1750,2500,USD,"MongoDB, Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en MongoDB, Oracle, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00435,Analista de BI,Procesos y Sistemas,encuentra24,2025-09-10,Panamá,Presencial,Senior,Permanente,2900,3950,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00436,Administrador de BD,TechMakers,encuentra24,2025-09-18,Panamá Oeste,Híbrido,Lead,Permanente,3700,5100,USD,"Oracle, PostgreSQL, Python, SQL","Buscamos Administrador de BD nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en Oracle, PostgreSQL, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00437,Analista de BI,Soluciones IT SA,Computrabajo,2025-02-12,Panamá,Presencial,Semi Senior,Temporal,1800,2400,USD,"PostgreSQL, Python, SQL","Buscamos Analista de BI nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00438,Científico de Datos,BAC Credomatic,encuentra24,2025-05-06,Panamá,Remoto,Junior,Por Proyecto,2500,3150,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL, TypeScript","Buscamos Científico de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00439,Desarrollador Backend,MultiBank,LinkedIn,2025-07-02,Chiriquí,Remoto,Semi Senior,Temporal,2400,3600,USD,".NET, C#, Git, Java, Kubernetes, Node.js, SQL, TypeScript","Buscamos Desarrollador Backend nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en .NET, C#, Git, Java. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00440,Ingeniero DevOps,Innovatec,encuentra24,2025-04-20,Panamá Oeste,Remoto,Junior,Temporal,,3350,USD,"AWS, Azure, Docker, Kubernetes, Spark, Vue","Buscamos Ingeniero DevOps nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00441,Ingeniero de IA/ML,Copa Airlines,LinkedIn,2025-03-07,Panamá,Híbrido,Senior,Permanente,2750,4150,USD,"AWS, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Machine Learning, Python, Spark. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00442,Científico de Datos,,Computrabajo,2025-02-04,Panamá,Remoto,Senior,Permanente,3550,4400,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00443,Ingeniero DevOps,Banistmo,Konzerta,2025-02-08,Panamá,Presencial,Junior,Permanente,1250,1650,USD,"Azure, Git, Kubernetes","Buscamos Ingeniero DevOps nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Azure, Git, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00444,Desarrollador Frontend,Banistmo,LinkedIn,2025-05-29,Panamá,Híbrido,Semi Senior,Por Proyecto,2100,2850,USD,"Angular, Git, JavaScript, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Angular, Git, JavaScript, TypeScript. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00445,Administrador de BD,Procesos y Sistemas,LinkedIn,2025-04-21,Panamá,Presencial,Semi Senior,Permanente,,3100,USD,"Machine Learning, MongoDB, PostgreSQL, Python, Rust","Buscamos Administrador de BD nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Machine Learning, MongoDB, PostgreSQL, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00446,Científico de Datos,Copa Airlines,Konzerta,2025-09-02,Panamá Oeste,Presencial,Senior,Permanente,3100,4000,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00447,Desarrollador Backend,Dell Panamá,Konzerta,2025-03-27,Panamá Oeste,Híbrido,Junior,Permanente,1500,2250,USD,".NET, C#, Git, Spring","Buscamos Desarrollador Backend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en .NET, C#, Git, Spring. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00448,Ingeniero Cloud,Dell Panamá,encuentra24,2025-05-31,Panamá,Híbrido,Semi Senior,Por Proyecto,,3300,USD,"Azure, Docker, GCP, Kubernetes","Buscamos Ingeniero Cloud nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Azure, Docker, GCP, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00449,Desarrollador Frontend,Nearshore Devs,Konzerta,2025-03-08,Panamá,Presencial,Semi Senior,Permanente,1600,2450,USD,"JavaScript, React, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en JavaScript, React, TypeScript, Vue. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00450,Ingeniero DevOps,BAC Credomatic,Computrabajo,2025-06-05,Chiriquí,Híbrido,Junior,Permanente,1450,2150,USD,"Azure, Docker, Kubernetes","Buscamos Ingeniero DevOps nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Azure, Docker, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00451,Ingeniero Cloud,Banco General,Konzerta,2025-04-04,Veraguas,Presencial,Junior,Permanente,1400,2100,USD,"AWS, Docker, GCP, Kubernetes, Machine Learning, Python","Buscamos Ingeniero Cloud nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Docker, GCP, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00452,Ingeniero de Datos,GBM Panamá,Computrabajo,2025-09-23,Panamá,Híbrido,Senior,Permanente,,4150,USD,"AWS, Power BI, Python, SQL","Buscamos Ingeniero de Datos nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00453,Ingeniero de Datos,DataPro Panamá,encuentra24,2025-03-31,Chiriquí,Presencial,Junior,Permanente,1350,2100,USD,"AWS, PostgreSQL, Power BI, Rust, Spark","Buscamos Ingeniero de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, PostgreSQL, Power BI, Rust. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00454,Ingeniero de Datos,TechMakers,LinkedIn,2025-07-30,Panamá Oeste,Híbrido,Lead,Por Proyecto,3200,3950,USD,"AWS, Power BI, Python, SQL, Spark","Buscamos Ingeniero de Datos nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en AWS, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00455,Ingeniero de IA/ML,Nearshore Devs,Computrabajo,2025-05-17,Colón,Híbrido,Junior,Permanente,1850,2350,USD,"AWS, LLM/IA Generativa, Machine Learning, Python, Spark","Buscamos Ingeniero de IA/ML nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, LLM/IA Generativa, Machine Learning, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00456,Desarrollador Frontend,DataPro Panamá,LinkedIn,2025-03-04,Panamá,Remoto,Junior,Permanente,1450,1850,USD,"Angular, React, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Angular, React, TypeScript, Vue. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00457,Analista de BI,Globant,Konzerta,2025-02-17,Panamá,Híbrido,Semi Senior,Permanente,1950,2950,USD,"PostgreSQL, Power BI, Python, SQL","Buscamos Analista de BI nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00458,Desarrollador Backend,Caja de Ahorros,LinkedIn,2025-09-17,Panamá,Híbrido,Junior,Temporal,1750,2550,USD,".NET, Java, Kubernetes, Python, Vue","Buscamos Desarrollador Backend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en .NET, Java, Kubernetes, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00459,Científico de Datos,Innovatec,Computrabajo,2025-09-12,Panamá,Híbrido,Junior,Por Proyecto,1850,,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00460,Ingeniero de Datos,,Konzerta,2025-09-15,Panamá,Híbrido,Junior,Por Proyecto,1750,2350,USD,"AWS, PostgreSQL, Power BI, Python, SQL, Spark","Buscamos Ingeniero de Datos nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, PostgreSQL, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00461,Científico de Datos,Nearshore Devs,Computrabajo,2024-12-20,Chiriquí,Presencial,Lead,Permanente,3050,4700,USD,"LLM/IA Generativa, Machine Learning, Power BI, Python, SQL","Buscamos Científico de Datos nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en LLM/IA Generativa, Machine Learning, Power BI, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00462,Ingeniero DevOps,Telered,Konzerta,2025-06-17,Herrera,Remoto,Semi Senior,Permanente,2450,3600,USD,"AWS, Azure, Docker, GCP, Git, Kubernetes","Buscamos Ingeniero DevOps nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, GCP. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00463,Desarrollador Frontend,Soluciones IT SA,encuentra24,2025-01-04,Panamá,Híbrido,Senior,Permanente,3350,,USD,"Angular, Git, JavaScript, LLM/IA Generativa, React, TypeScript","Buscamos Desarrollador Frontend nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en Angular, Git, JavaScript, LLM/IA Generativa. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00464,Desarrollador Backend,Avianca Tech,Konzerta,2025-07-26,Colón,Presencial,Junior,Permanente,1400,1900,USD,".NET, C#, GCP, Git, Java, Node.js, SQL","Buscamos Desarrollador Backend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en .NET, C#, GCP, Git. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00465,Desarrollador Backend,Telered,LinkedIn,2025-05-11,Panamá,Híbrido,Senior,Por Proyecto,3000,4300,USD,".NET, Git, Node.js, Python, SQL","Buscamos Desarrollador Backend nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en .NET, Git, Node.js, Python. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00466,Ingeniero Cloud,TechMakers,encuentra24,2025-05-21,Colón,Remoto,Junior,Por Proyecto,2550,3200,USD,"AWS, Azure, Docker, GCP, Kubernetes, LLM/IA Generativa, Python","Buscamos Ingeniero Cloud nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en AWS, Azure, Docker, GCP. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00467,Desarrollador Backend,Avianca Tech,LinkedIn,2025-05-07,Panamá,Presencial,Lead,Por Proyecto,,5350,USD,"C#, Java, Node.js, SQL, Spring","Buscamos Desarrollador Backend nivel Lead para integrarse a nuestro equipo. Experiencia comprobable en C#, Java, Node.js, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00468,Ingeniero Cloud,BAC Credomatic,LinkedIn,2025-09-04,Colón,Presencial,Junior,Permanente,1550,2350,USD,"Azure, Docker, GCP, Kubernetes, LLM/IA Generativa","Buscamos Ingeniero Cloud nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Azure, Docker, GCP, Kubernetes. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00469,Desarrollador Frontend,DataPro Panamá,LinkedIn,2025-08-31,Panamá,Presencial,Semi Senior,Por Proyecto,2200,3250,USD,"Angular, Git, JavaScript, React, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Semi Senior para integrarse a nuestro equipo. Experiencia comprobable en Angular, Git, JavaScript, React. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00470,Analista de BI,MultiBank,Konzerta,2025-03-05,Coclé,Híbrido,Senior,Permanente,2200,3150,USD,"PostgreSQL, Power BI, Python, SQL, Spark","Buscamos Analista de BI nivel Senior para integrarse a nuestro equipo. Experiencia comprobable en PostgreSQL, Power BI, Python, SQL. Ofrecemos crecimiento profesional y ambiente colaborativo."
OF-00471,Desarrollador Frontend,TechMakers,encuentra24,2025-09-21,Panamá Oeste,Presencial,Junior,Permanente,1600,1950,USD,"Git, JavaScript, Kubernetes, TypeScript, Vue","Buscamos Desarrollador Frontend nivel Junior para integrarse a nuestro equipo. Experiencia comprobable en Git, JavaScript, Kubernetes, TypeScript. Ofrecemos crecimiento profesional y ambiente colaborativo."
